key,category,name
cc_extended-nearshore,CalCOFI,Extended Nearshore
cc_extended-offshore,CalCOFI,Extended Offshore
cc_historical-nearshore,CalCOFI,Historical Nearshore
cc_historical-offshore,CalCOFI,Historical Offshore
cc_standard-nearshore,CalCOFI,Standard Nearshore
cc_standard-offshore,CalCOFI,Standard Offshore
iea_ca,Integrated Ecosystem Assessment,California Current
nms_cb,National Marine Sanctuary,Cordell Bank
nms_ci,National Marine Sanctuary,Channel Islands
nms_gf,National Marine Sanctuary,Greater Farallones
nms_mb,National Marine Sanctuary,Monterey Bay
nms_oc,National Marine Sanctuary,Olympic Coast